Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Dogfish (Squalidae) and other sharks, meat, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,69.67
China,"Dogfish and other sharks nei (excl. Squalus acanthias, Scyliorhinus spp., Lamna nasus, Prionace glauca), frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,172,536,547,771,455,363,243,1004,3603,2382,4603,3614,4631,5256,4830,5575,6725,5666,4537,4335,3668,2481,3228,3362,3290,2718,4858,5314.57
China,"Dogfish, other sharks, rays and skates (Rajidae), fillets, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,53.49
China,Eels and elvers live,Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,160,230,72,142,61,216,122,10,64,12,21,49,54,35,129,181,213,203,189,207,229,231,90,199,246,310,164,141,215,396.13
China,"Eels, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1,9,264,393,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,0,0
China,"Eels, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,15,292,315,643,630,37,79,92,2329,1851,1254,664,1377,5464,7151,10619,10028,9119,5430,3498,2933,922,420,712,242,1072,2814,3046
China,"Fish body oils, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,225,280,138,428,784,1491,3367,2350,6660,10366,1539,4851,2494,24836,3613,3744,9252,16698,15321,30147,30563,36308,53358,68972,51636,43592,65541,45968,48681,33797,54700,55125,61630.09
China,"Fish dried, whether or not salted, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,6391,5405,6745,8932,2425,1630,1379,1990,2444,2460,5217,5508,1442,1303,1271,2034,3080,1977,781,666,593,550,754,935,3101,16927,15362,24087.45
China,"Fish fillets, dried, salted or in brine, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,8,14,23,4,21,3,20,7,15,52,84,182,288,672,1060,1854,254,232,57,119,86,296,6,23,10,42,17,68.72
China,"Fish fillets, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,1,120,125,23,55,73,323,246,36,270,0,83,892,689,1754,739,948,651,456,161,283,624,104,109,31,2,0,3,7,6,13,15,18.41
