Country (Name),Name1,Name,Fishing_area,Production_source,Unit (Name),[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,Filefishes nei,Filefishes nei,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230142,310351,105391,161365,208600,265938,137923,324245,272674,426918,407210,263294,392068,337189,285601,157965,95500,196321,122358,210188,274286,208816,208351,190178,172108,134985,156142,168773,211098,197482,176753,184114,209716,204541,202484,194614,190356,192330,187987,169296,157443,139151,127669
China,"Porgies, seabreams nei","Porgies, seabreams nei","Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53311,42527,57903,57565,56785,58576,56174,65658,66389,67783,90751,107234,100882,105893,129296,118874,136946,132935,131330,153316,165428,167564,166397,169253,172947,170824,164968,153446,136529,131072
China,Marine crabs nei,Marine crabs nei,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97357,107232,104569,106626,72988,69596,110190,113832,120319,113758,128664,142991,159380,119255,111691,82428,85670
China,So-iny (redlip) mullet,So-iny (redlip) mullet,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106404,139043,134391,139369,125558,127133,127493,156989,150636,139423,142318,154863,158964,143969,134800,118310,111110
China,Fleshy prawn,Fleshy prawn,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14321,13051,11684,32333,39474,28411,8797,21210,33869,48065,26592,18762,1628,11919,15535,32524,29405,33786,54477,25210,38414,35913,37852,16582,45770,43043,55292,64145,69442,60638,72349,82757,84625,80897,83851,89403,108942,111299,89678,107618,107522,125645,131369,130333,140286,158392,162849,180696,223082,215435
China,"Cuttlefish, bobtail squids nei","Cuttlefish, bobtail squids nei","Pacific, Northwest",Capture production,Tonnes - live weight,13600,19600,24800,25200,30700,33600,39000,38000,38000,40000,40000,40000,42000,42000,42000,44000,44000,44000,46000,46000,56600,73300,47800,0,0,0,35752,40391,61955,90127,79518,28131,49931,53394,54030,53102,50374,60023,73379,56553,66777,68946,69349,118536,193046,213772,166319,218062,196613,182817,219582,264585,252541,137048,149292,141145,156503,152754,116587,119681,115826,126566,127126,128046,137211,147647,133877,136772,127257,131067
China,Japanese pilchard,Japanese pilchard,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41608,63445,52986,46846,68453,58434,92918,115381,107349,127610,132066,137207,158484,139287,153122,157517,203432,169127,157074,134377,135011,140189,131963,141558,151047,146232,139441,119275,105700,98760
China,Large yellow croaker,Large yellow croaker,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51375,58931,60916,62507,61844,65977,65259,83274,76457,91148,100717,122254,142351,159529,177640,197980,225549
China,Green mud crab,Green mud crab,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88306,94935,97463,93103,101529,113852,114543,112408,115772,123599,132149,134507,135094,146189,151976,157712,160616
China,"Octopuses, etc. nei","Octopuses, etc. nei","Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99736,115653,97470,118727,139416,120602,118345,125776,126067,124117,116828,121352,130245,124394,110835,107789,106014
